Category: Beauty & Fitness

Week,vegan skin care: (United States),Cruelty free skin care: (United States),Natural skin care: (United States),plant based skin care: (United States),sensitive skin care: (United States)
2018-03-04,20,0,78,0,25
2018-03-11,0,6,66,0,13
2018-03-18,11,6,48,0,25
2018-03-25,5,5,75,5,30
2018-04-01,5,6,70,0,32
2018-04-08,0,12,66,0,24
2018-04-15,6,19,82,7,19
2018-04-22,10,0,75,0,30
2018-04-29,4,4,44,4,27
2018-05-06,12,4,48,10,38
2018-05-13,4,15,66,0,17
2018-05-20,0,18,58,0,40
2018-05-27,17,7,68,0,33
2018-06-03,0,8,50,0,22
2018-06-10,8,0,64,0,39
2018-06-17,10,0,50,0,28
2018-06-24,13,0,61,0,11
2018-07-01,22,6,60,0,22
2018-07-08,10,6,58,0,43
2018-07-15,14,0,68,0,30
2018-07-22,17,0,56,0,30
2018-07-29,19,0,76,0,34
2018-08-05,6,17,60,0,26
2018-08-12,7,0,52,0,30
2018-08-19,0,11,55,0,23
2018-08-26,7,9,72,0,14
2018-09-02,5,0,46,0,24
2018-09-09,11,5,47,0,17
2018-09-16,24,5,42,5,17
2018-09-23,6,0,51,0,20
2018-09-30,0,7,62,0,24
2018-10-07,17,4,56,0,22
2018-10-14,0,15,57,0,23
2018-10-21,0,0,52,0,21
2018-10-28,0,19,47,0,29
2018-11-04,11,0,52,0,28
2018-11-11,11,15,64,0,30
2018-11-18,18,13,45,0,30
2018-11-25,19,14,56,0,45
2018-12-02,14,13,54,0,35
2018-12-09,16,8,57,7,25
2018-12-16,0,6,74,0,16
2018-12-23,8,0,63,0,23
2018-12-30,4,14,51,0,30
2019-01-06,9,0,47,0,34
2019-01-13,0,7,86,0,25
2019-01-20,10,5,68,4,35
2019-01-27,11,23,75,0,31
2019-02-03,12,10,75,7,31
2019-02-10,6,8,63,0,21
2019-02-17,4,4,59,5,36
2019-02-24,7,5,59,0,31
2019-03-03,0,6,76,0,36
2019-03-10,4,16,70,6,27
2019-03-17,18,5,45,0,35
2019-03-24,9,8,83,0,37
2019-03-31,10,14,60,7,40
2019-04-07,8,4,82,0,37
2019-04-14,8,17,74,10,30
2019-04-21,7,0,49,0,25
2019-04-28,6,8,61,0,26
2019-05-05,10,4,61,0,21
2019-05-12,13,5,58,0,34
2019-05-19,5,0,66,0,30
2019-05-26,0,0,60,0,34
2019-06-02,18,18,67,5,37
2019-06-09,21,11,61,0,23
2019-06-16,13,15,54,0,23
2019-06-23,0,7,73,4,31
2019-06-30,8,7,47,0,25
2019-07-07,15,8,44,0,24
2019-07-14,11,9,73,0,22
2019-07-21,5,0,59,5,30
2019-07-28,0,13,50,0,31
2019-08-04,7,6,65,0,42
2019-08-11,14,7,100,4,37
2019-08-18,0,14,65,0,23
2019-08-25,15,6,64,0,20
2019-09-01,5,7,53,0,20
2019-09-08,0,0,62,0,33
2019-09-15,10,12,53,0,23
2019-09-22,4,6,55,0,21
2019-09-29,7,10,77,0,23
2019-10-06,7,0,67,0,31
2019-10-13,13,7,59,11,23
2019-10-20,16,8,65,0,21
2019-10-27,11,8,55,5,25
2019-11-03,0,0,64,10,20
2019-11-10,0,4,53,0,23
2019-11-17,0,17,36,0,20
2019-11-24,9,7,58,0,21
2019-12-01,5,11,69,0,24
2019-12-08,5,13,47,10,11
2019-12-15,20,0,65,0,33
2019-12-22,0,5,63,0,38
2019-12-29,14,0,75,0,32
2020-01-05,17,13,59,7,49
2020-01-12,6,7,74,0,32
2020-01-19,7,7,66,0,37
2020-01-26,7,5,49,0,34
2020-02-02,5,10,58,0,30
2020-02-09,10,11,72,0,40
2020-02-16,6,9,71,7,27
2020-02-23,8,0,65,0,41
2020-03-01,7,8,38,0,25
2020-03-08,7,9,53,0,34
2020-03-15,11,6,50,0,22
2020-03-22,10,11,57,4,35
2020-03-29,8,0,67,0,37
2020-04-05,13,0,62,4,51
2020-04-12,8,4,72,0,54
2020-04-19,17,22,84,7,50
2020-04-26,20,15,75,4,41
2020-05-03,18,10,69,0,54
2020-05-10,21,9,73,0,35
2020-05-17,19,8,76,0,48
2020-05-24,14,6,88,0,29
2020-05-31,11,0,71,10,50
2020-06-07,16,13,59,0,32
2020-06-14,18,15,80,0,48
2020-06-21,19,0,83,0,54
2020-06-28,13,15,55,7,41
2020-07-05,12,7,69,0,40
2020-07-12,8,12,72,0,33
2020-07-19,16,9,73,16,43
2020-07-26,15,5,64,0,28
2020-08-02,18,14,57,3,30
2020-08-09,12,13,69,0,30
2020-08-16,22,10,54,6,27
2020-08-23,9,5,44,0,40
2020-08-30,15,8,50,4,27
2020-09-06,15,8,63,0,37
2020-09-13,12,13,55,0,37
2020-09-20,6,0,50,0,23
2020-09-27,5,0,54,0,29
2020-10-04,7,8,70,0,26
2020-10-11,10,7,67,0,17
2020-10-18,8,10,46,0,42
2020-10-25,9,6,35,7,26
2020-11-01,5,0,55,0,20
2020-11-08,8,13,35,7,23
2020-11-15,8,6,60,8,29
2020-11-22,7,10,57,8,35
2020-11-29,0,0,55,0,30
2020-12-06,5,9,57,5,60
2020-12-13,13,8,68,0,49
2020-12-20,11,0,48,0,46
2020-12-27,13,4,80,0,30
2021-01-03,11,12,72,5,37
2021-01-10,9,16,74,5,27
2021-01-17,14,11,60,4,48
2021-01-24,14,0,59,0,36
2021-01-31,7,0,66,0,33
2021-02-07,17,0,53,0,41
2021-02-14,23,13,55,0,43
2021-02-21,19,11,63,7,33
2021-02-28,13,0,67,0,49
2021-03-07,10,13,63,0,27
2021-03-14,16,9,51,0,30
2021-03-21,16,8,41,4,32
2021-03-28,7,6,46,12,32
2021-04-04,5,6,75,0,38
2021-04-11,9,12,51,0,37
2021-04-18,0,25,54,6,33
2021-04-25,20,8,37,0,19
2021-05-02,7,19,60,12,27
2021-05-09,12,12,51,0,19
2021-05-16,12,0,54,10,32
2021-05-23,16,10,52,9,23
2021-05-30,7,8,67,0,20
2021-06-06,19,0,28,0,26
2021-06-13,7,6,47,0,28
2021-06-20,14,0,55,0,36
2021-06-27,9,5,44,8,47
2021-07-04,4,8,61,0,18
2021-07-11,0,8,51,0,40
2021-07-18,10,5,42,0,17
2021-07-25,0,0,60,0,31
2021-08-01,7,0,52,0,26
2021-08-08,8,0,38,5,45
2021-08-15,13,0,53,0,30
2021-08-22,5,5,37,0,24
2021-08-29,12,14,68,0,26
2021-09-05,12,24,50,8,38
2021-09-12,16,11,53,8,30
2021-09-19,5,7,45,6,25
2021-09-26,11,0,37,0,26
2021-10-03,20,5,67,0,11
2021-10-10,15,8,50,0,14
2021-10-17,25,0,56,0,32
2021-10-24,0,10,48,0,13
2021-10-31,24,0,52,0,26
2021-11-07,11,9,56,0,22
2021-11-14,19,7,44,13,33
2021-11-21,0,16,59,0,25
2021-11-28,5,0,62,0,27
2021-12-05,0,11,61,0,26
2021-12-12,8,0,46,0,37
2021-12-19,13,0,44,0,29
2021-12-26,15,0,39,0,35
2022-01-02,19,0,64,0,40
2022-01-09,9,0,45,4,37
2022-01-16,5,18,22,0,36
2022-01-23,7,0,62,7,32
2022-01-30,0,13,36,0,15
2022-02-06,17,15,41,9,37
2022-02-13,22,0,59,0,29
2022-02-20,0,4,40,0,43
2022-02-27,10,5,39,0,24
2022-03-06,0,0,39,7,41
2022-03-13,4,4,38,0,18
2022-03-20,9,3,38,0,36
2022-03-27,10,3,38,4,31
2022-04-03,8,3,53,0,30
2022-04-10,3,9,39,3,30
2022-04-17,6,7,42,0,21
2022-04-24,9,6,37,0,25
2022-05-01,4,7,56,0,30
2022-05-08,10,0,47,0,28
2022-05-15,15,0,42,0,20
2022-05-22,9,5,19,0,23
2022-05-29,9,0,37,5,29
2022-06-05,9,6,22,0,33
2022-06-12,4,7,28,0,31
2022-06-19,17,0,38,0,21
2022-06-26,6,0,32,0,28
2022-07-03,0,0,40,0,21
2022-07-10,9,0,35,0,25
2022-07-17,6,0,44,0,27
2022-07-24,13,5,34,0,30
2022-07-31,0,5,44,0,19
2022-08-07,18,0,37,4,31
2022-08-14,6,0,39,0,27
2022-08-21,4,7,58,0,31
2022-08-28,5,13,40,0,43
2022-09-04,9,4,37,0,24
2022-09-11,6,3,24,0,24
2022-09-18,23,6,26,0,30
2022-09-25,5,9,39,0,25
2022-10-02,5,4,28,5,40
2022-10-09,20,0,15,7,37
2022-10-16,6,12,55,4,11
2022-10-23,6,6,30,0,16
2022-10-30,0,8,17,4,12
2022-11-06,0,8,22,8,32
2022-11-13,13,8,38,0,48
2022-11-20,12,0,43,0,20
2022-11-27,0,20,39,0,32
2022-12-04,8,10,31,0,27
2022-12-11,7,6,32,0,26
2022-12-18,7,4,55,0,17
2022-12-25,13,14,35,0,42
2023-01-01,5,0,27,0,35
2023-01-08,6,7,40,0,34
2023-01-15,4,6,33,0,32
2023-01-22,8,4,52,0,21
2023-01-29,0,11,39,0,33
2023-02-05,8,0,38,0,41
2023-02-12,0,11,40,0,36
2023-02-19,7,0,39,0,30
2023-02-26,0,0,53,0,67
